9.0000000e+01,2.0107514e+00,2.4476813e+00,2.5111425e+00
8.5000000e+01,2.0096108e+00,2.4486989e+00,2.5102404e+00
8.0000000e+01,2.0100590e+00,2.4480464e+00,2.5115978e+00
7.5000000e+01,2.0095584e+00,2.4462630e+00,2.5116310e+00
7.0000000e+01,2.0122792e+00,2.4483767e+00,2.5092539e+00
6.5000000e+01,2.0220049e+00,2.4479559e+00,2.5106010e+00
6.0000000e+01,2.0190008e+00,2.4470201e+00,2.5118843e+00
5.7500000e+01,2.0210998e+00,2.4481521e+00,2.5108027e+00
5.5000000e+01,2.0220502e+00,2.4471008e+00,2.5088135e+00
5.2500000e+01,2.0242132e+00,2.4495904e+00,2.5085527e+00
5.0000000e+01,2.0260346e+00,2.4486874e+00,2.5069579e+00
4.7500000e+01,2.0297587e+00,2.4472331e+00,2.5103984e+00
4.5000000e+01,2.0303925e+00,2.4468817e+00,2.5078403e+00
4.2500000e+01,2.0352183e+00,2.4478506e+00,2.5136177e+00
4.0000000e+01,2.0386343e+00,2.4462889e+00,2.5087186e+00
3.7500000e+01,2.0371098e+00,2.4461823e+00,2.5119499e+00
3.5000000e+01,2.0434867e+00,2.4490159e+00,2.5080140e+00
3.2500000e+01,2.0487621e+00,2.4455228e+00,2.5104990e+00
3.0000000e+01,2.0592700e+00,2.4483223e+00,2.5087472e+00
